(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(463,553,624,426,114,361,329, 418)
(465,576,18,291,754,274,223, 502)
(466,510,333,564,755,582,652, 70)
(47,275,156,55,653,516,347, 377)
(473,526,342,493,508,172,531, 357)
(473,548,571,488,501,398,221, 450)
(484,419,752,584,255,391,422, 76)
(484,127,276,356,564,249,554, 159)
(49,246,102,301,207,18,122, 136)
(49,208,511,266,63,182,213, 428)
(492,421,248,332,266,504,408, 529)
(494,578,177,365,498,501,275, 568)
(498,17,573,32,113,468,259, 195)
(50,545,716,100,526,234,127, 161)
(506,569,134,505,643,485,543, 493)
(507,152,654,359,35,439,210, 190)
(509,95,641,248,321,564,595, 133)
(514,573,199,134,382,147,80, 559)
(518,582,259,360,91,578,617, 251)
(519,234,428,84,597,355,226, 464)
(520,458,776,552,21,108,404, 165)
(521,366,368,352,648,160,698, 333)
(522,223,659,227,548,483,435, 345)
(522,289,476,243,323,441,558, 496)
(524,173,368,50,271,585,521, 433)
(524,302,495,444,75,450,246, 175)
(525,383,578,477,590,97,596, 389)
(528,202,87,357,527,391,219, 21)
(529,541,396,350,626,344,374, 527)
(53,333,206,513,358,39,238, 239)
(53,471,733,25,69,485,243, 246)
(530,41,103,33,373,152,624, 302)
(530,247,542,123,379,546,378, 334)
(531,308,216,224,510,294,648, 148)
(532,238,256,164,229,304,441, 474)
(534,506,538,489,407,484,592, 511)
(536,300,465,201,634,500,525, 416)
(540,44,497,113,330,439,716, 186)
(542,506,487,404,581,425,733, 567)
(542,231,623,235,125,313,570, 463)
(545,568,711,145,92,519,435, 295)
(547,40,618,359,83,381,283, 153)
(550,154,187,306,756,547,377, 172)
(552,485,565,421,53,118,642, 476)
(554,254,354,494,463,285,469, 118)
(554,93,251,584,238,74,591, 415)
(557,186,404,91,544,432,417, 244)
(557,459,697,497,638,108,609, 492)
(559,554,375,238,615,155,232, 547)
(56,66,243,457,434,451,70, 292)
(56,40,239,247,217,207,76, 181)
(562,505,683,582,269,308,425, 396)
(562,213,270,262,289,66,433, 281)
(568,55,606,117,407,444,91, 56)
(57,545,397,525,109,565,110, 470)
(570,356,709,52,258,154,672, 229)
(571,388,155,450,668,206,449, 223)
(574,289,615,89,449,107,242, 431)
(578,207,457,89,722,570,448, 459)
(578,524,603,190,601,523,83, 463)
(586,154,773,399,296,467,333, 203)
(588,585,621,559,240,372,411, 541)
(592,44,210,355,758,20,668, 495)
(593,84,349,164,759,199,445, 43)
(593,398,543,578,704,187,365, 159)
(596,574,661,519,67,221,216, 574)
(598,50,35,39,100,303,552, 525)
(599,550,473,530,308,572,630, 47)
(603,158,764,278,322,507,377, 259)
(604,511,752,255,374,15,150, 482)
(604,56,349,299,667,340,752, 152)
(605,83,319,575,688,308,140, 110)
(606,287,544,482,333,563,158, 83)
(611,545,306,538,691,304,482, 543)
(611,411,270,207,114,80,342, 490)
(617,76,461,563,611,170,98, 83)
(623,52,24,170,538,61,645, 535)
(627,448,534,366,570,338,759, 325)
(633,479,764,337,328,482,567, 308)
(633,70,703,454,53,398,769, 242)
(637,332,371,504,641,479,349, 127)
(637,563,610,228,362,337,425, 543)
(643,64,176,148,500,545,426, 180)
(65,384,78,549,17,204,225, 433)
(651,537,669,192,279,55,238, 505)
(651,575,294,524,654,465,636, 520)
(653,444,633,36,277,43,772, 251)
(658,381,654,370,193,456,518, 440)
(659,448,571,195,27,214,774, 286)
(66,74,28,111,65,449,368, 211)
(664,474,466,443,529,181,783, 267)
(664,166,587,406,117,565,617, 280)
(667,435,488,222,715,418,421, 469)
(668,391,678,270,475,558,509, 386)
(67,215,473,90,519,454,130, 565)
(672,27,538,538,641,53,650, 31)
(674,517,661,522,372,232,758, 139)
(677,142,672,340,179,131,436, 116)
(679,439,398,573,351,188,721, 62)
(68,123,640,325,193,46,261, 430)
(685,313,640,88,21,99,316, 415)
(690,67,751,66,288,110,596, 467)
(691,15,623,344,631,527,464, 130)
(700,208,238,373,199,209,547, 482)
(708,432,749,493,41,466,373, 268)
(714,178,705,195,724,159,486, 55)
(715,26,145,329,456,191,779, 410)
(719,126,668,159,663,91,784, 254)
(728,560,250,500,498,195,696, 350)
(731,187,643,452,743,33,545, 236)
(741,468,264,520,553,490,641, 356)
(741,498,710,515,704,64,726, 507)
(744,94,331,568,102,103,736, 494)
(745,468,678,452,279,446,699, 540)
(745,32,461,199,751,567,599, 73)
(749,55,631,245,475,67,766, 179)
(749,231,118,215,524,105,729, 21)
(750,501,631,573,41,253,714, 553)
(766,525,96,23,263,264,420, 583)
(767,160,504,194,539,414,628, 111)
(770,167,698,38,476,203,637, 228)
(772,444,226,480,753,467,499, 19)
(778,529,169,91,557,458,725, 326)
(78,109,212,432,658,99,355, 61)
(78,157,41,167,170,257,45, 90)
(78,442,184,507,540,446,59, 570)
(780,98,487,245,635,53,691, 274)
(781,357,705,233,517,418,756, 295)
(784,216,130,204,481,95,590, 262)
(784,327,348,529,626,237,617, 532)
(785,223,764,83,604,446,590, 243)
(785,218,520,177,738,537,654, 227)
(82,69,661,50,223,176,74, 208)
(84,585,431,499,520,217,57, 112)
(88,44,701,218,326,396,66, 293)
(89,332,422,197,315,414,196, 381)
(91,64,436,43,224,66,151, 181)
(94,25,40,297,662,276,103, 164)
